全国 358 家 5A 级旅游景区完整可复制版
北京市（9 家）
故宫博物院 | 北京市东城区景山前街 4 号 | 明清两代皇家宫殿，世界现存最大木质结构古建筑群，世界文化遗产，馆藏文物 186 万余件
天坛公园 | 北京市东城区天坛路甲 1 号 | 明清皇帝祭天祈谷的专用场所，世界现存规模最大的祭天建筑群，世界文化遗产，以回音壁、三音石声学奇观闻名
颐和园 | 北京市海淀区新建宫门路 19 号 | 中国现存规模最大、保存最完整的皇家园林，世界文化遗产，以昆明湖、万寿山、728 米长廊为核心景观
八达岭 - 慕田峪长城旅游区 | 北京市延庆区 / 怀柔区 | 万里长城最具代表性的精华段，世界文化遗产，八达岭以交通便利、气势恢宏著称，慕田峪以植被覆盖率高、景观秀丽闻名
明十三陵景区 | 北京市昌平区天寿山麓 | 明朝十三位皇帝的陵寝建筑群，世界文化遗产，中国现存规模最大、帝后陵寝最多的皇陵建筑群
恭王府景区 | 北京市西城区前海西街 17 号 | 清代规模最大的王府，曾为和珅府邸，保存最完整的王府建筑群，有 “一座恭王府，半部清代史” 之称
北京奥林匹克公园 | 北京市朝阳区北辰东路 | 2008 年北京奥运会主场馆集群，核心包含鸟巢、水立方、国家体育馆等标志性建筑，集体育赛事、休闲观光于一体
圆明园遗址公园 | 北京市海淀区清华西路 28 号 | 清代皇家园林 “万园之园” 的遗址，以大水法等西洋楼遗址为核心，是中国近代史重要的爱国主义教育基地
北京（通州）大运河文化旅游景区 | 北京市通州区 | 京杭大运河的北起点，核心包含大运河森林公园、运河奥体公园等，集中展现大运河历史文化与生态景观
天津市（2 家）
天津古文化街旅游区（津门故里）| 天津市南开区东北角东门外 | 天津民俗文化核心地标，仿明清风格建筑群，汇聚天后宫、泥人张、杨柳青年画等天津非遗与老字号，津门十景之一
盘山风景名胜区 | 天津市蓟州区官庄镇莲花岭村 |“京东第一山”，乾隆皇帝一生 32 次巡游之地，以 “三盘暮雨” 奇景闻名，集自然山水与佛教文化于一体
河北省（13 家）
承德避暑山庄及周围寺庙景区 | 河北省承德市双桥区丽正门路 20 号 | 清代皇家避暑行宫，中国现存最大的皇家园林，周围寺庙融合汉藏建筑风格，世界文化遗产
山海关景区 | 河北省秦皇岛市山海关区 |“天下第一关”，明长城的东起点，中国万里长城唯一集山、海、关、城于一体的军事防御体系
